C00001	"H2O; Water"
C00002	"ATP; Adenosine 5'-triphosphate"
C00003	"NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide"
C00004	"NADH; DPNH; Reduced nicotinamide adenine dinucleotide"
C00005	"NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate"
C00006	"NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide"
C00007	"Oxygen; O2"
C00008	"ADP; Adenosine 5'-diphosphate"
C00009	"Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid"
C00010	"CoA; Coenzyme A; CoA-SH"
C00011	"CO2; Carbon dioxide"
C00013	"Diphosphate; Diphosphoric acid; Pyrophosphate; Pyrophosphoric acid; PPi"
C00014	"Ammonia; NH3"
C00015	"UDP; Uridine 5'-diphosphate"
C00020	"AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"
C00027	"Hydrogen peroxide; H2O2; Oxydol"
C00028	"Acceptor; Hydrogen-acceptor; A; Oxidized donor"
C00030	"Reduced acceptor; AH2; Hydrogen-donor; Donor"
C00035	"GDP; Guanosine 5'-diphosphate; Guanosine diphosphate"
C00044	"GTP; Guanosine 5'-triphosphate"
C00055	"CMP; Cytidine-5'-monophosphate; Cytidylic acid"
C00063	"CTP; Cytidine 5'-triphosphate; Cytidine triphosphate"
C00067	"Formaldehyde; Methanal; Oxomethane; Oxomethylene; Methylene oxide; Formalin"
C00075	"UTP; Uridine 5'-triphosphate; Uridine triphosphate"
C00080	"H+; Hydron"
C00081	"ITP; Inosine 5'-triphosphate; Inosine triphosphate; Inosine tripolyphosphate"
C00104	"IDP; Inosine 5'-diphosphate; Inosine diphosphate"
C00105	"UMP; Uridylic acid; Uridine monophosphate; Uridine 5'-monophosphate; 5'Uridylic acid"
C00112	"CDP; Cytidine 5'-diphosphate; Cytidine diphosphate"
C00130	"IMP; Inosinic acid; Inosine monophosphate; Inosine 5'-monophosphate; Inosine 5'-phosphate; 5'-Inosinate; 5'-Inosinic acid; 5'-Inosine monophosphate; 5'-IMP"
C00131	"dATP; 2'-Deoxyadenosine 5'-triphosphate; Deoxyadenosine 5'-triphosphate; Deoxyadenosine triphosphate"
C00144	"GMP; Guanosine 5'-phosphate; Guanosine monophosphate; Guanosine 5'-monophosphate; Guanylic acid"
C00201	"Nucleoside triphosphate; NTP"
C00206	"dADP; 2'-Deoxyadenosine 5'-diphosphate"
C00239	"dCMP; Deoxycytidylic acid; Deoxycytidine monophosphate; Deoxycytidylate; 2'-Deoxycytidine 5'-monophosphate"
C00286	"dGTP; 2'-Deoxyguanosine 5'-triphosphate; Deoxyguanosine 5'-triphosphate; Deoxyguanosine triphosphate"
